track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
7fzHQizxTqy8wTXwlrgPQQ,Tommy Richman,MILLION DOLLAR BABY,MILLION DOLLAR BABY,94,155151,False,0.849,0.699,1,-5.106,0,0.0436,0.0982,0.000215,0.068,0.927,138.003,4,chill abstract hip hop
6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,Not Like Us,95,274192,True,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4,"conscious hip hop, hip hop, rap, west coast rap"
2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Espresso,99,175459,True,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,4,pop
7221xIgOnuakPdLqT0F3nP,"Post Malone, Morgan Wallen",I Had Some Help,I Had Some Help (Feat. Morgan Wallen),88,178205,True,0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,4,"dfw rap, melodic rap, pop, rap"
2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT,Fortnight (feat. Post Malone),96,228965,False,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,4,pop
2GxrNKugF82CnoRFbQfzPf,Artemas,i like the way you kiss me,i like the way you kiss me,100,142514,False,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4,Unknown
6XjDF6nds4DE2BBbagZol6,"FloyyMenor, Cris Mj",Gata Only,Gata Only,98,222000,True,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,4,reggaeton chileno
2FQrifJ1N335Ljm3TjTVVf,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),95,171291,True,0.722,0.709,9,-4.95,1,0.0273,0.0633,0.0,0.0804,0.604,81.012,4,pop rap
5Z0UnEtpLDQyYlWwgi8m9C,Hozier,Unreal Unearth: Unheard,Too Sweet,90,251424,False,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4,"irish singer-songwriter, modern rock, pov: indie"
3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Fireworks & Rollerblades,Beautiful Things,91,180304,False,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3,singer-songwriter pop
